"AR","MA","GARCH","ARCH","AIC","BIC","LB_Resid","LB_Resid2","LB_Promedio"
1,0,1,0,-2.21808329325041,-2.17417839352771,0.999979135288362,1,0.999989567644181
1,2,1,0,5.42994019361473,5.49579754319879,0.954746716586808,0.999999985307325,0.977373350947067
0,3,1,0,7.4482359888835,7.51409333846756,0.860826233686853,0.998607559921029,0.929716896803941
3,2,2,2,-5.29837133794835,-5.17763286371091,0.99517881847954,0.632744758023963,0.813961788251752
3,2,1,2,-5.30405317914144,-5.19429092983468,0.99517940866153,0.632376589167634,0.813777998914582
4,3,2,2,-5.29045938573334,-5.14776846163454,0.996596657305989,0.621782857420657,0.809189757363323
4,2,2,2,-5.2902774078427,-5.15856270867459,0.992522066435612,0.624824374155841,0.808673220295726
3,4,2,2,-5.28809854736682,-5.14540762326802,0.994617628025357,0.611522418477975,0.803070023251666
3,4,1,2,-5.29378036768005,-5.16206566851193,0.994617353257692,0.611486573808991,0.803051963533342
2,3,1,2,-5.30231894988715,-5.19255670058039,0.995675546504882,0.600063971089253,0.797869758797068
2,3,2,2,-5.29663713546052,-5.17589866122308,0.995675588708773,0.599905482088458,0.797790535398615
2,4,2,2,-5.2911249379405,-5.15941023877238,0.995673895339242,0.596921388885776,0.796297642112509
4,3,1,2,-5.29308400910314,-5.16136930993503,0.9954664599664,0.596994521574067,0.796230490770233
2,4,1,2,-5.29680677621869,-5.17606830198125,0.995684381058447,0.596599532237957,0.796141956648202
3,3,2,2,-5.29312853160837,-5.16141383244026,0.995904767619383,0.585135460326987,0.790520113973185
4,4,2,2,-5.31756459362981,-5.16389744460034,0.999557679103138,0.559277539592802,0.77941760934797
4,3,2,1,-5.29291115085836,-5.16119645169024,0.995780202312993,0.561170996540684,0.778475599426839
3,2,1,1,-5.30499814125346,-5.20621211687737,0.996067091410535,0.512783977763044,0.754425534586789
3,2,2,1,-5.29931630388071,-5.18955405457395,0.996065269177591,0.512524351642185,0.754294810409888
3,4,2,1,-5.28763335509566,-5.15591865592754,0.99603990085208,0.50189504039842,0.74896747062525
2,3,2,1,-5.29786715928289,-5.18810490997613,0.996113253235222,0.490754786388024,0.743434019811623
2,3,1,1,-5.30354898311543,-5.20476295873935,0.996113201189935,0.490750045499057,0.743431623344496
4,2,2,1,-5.29135580237227,-5.17061732813483,0.994440563912819,0.492084666729455,0.743262615321137
4,2,1,1,-5.29703762026545,-5.18727537095869,0.994444952822037,0.49133877352274,0.742891863172389
3,3,2,1,-5.29466577828342,-5.17392730404598,0.996054637548409,0.486017223070534,0.741035930309471
3,3,1,2,-5.35026529153935,-5.22952681730191,0.997452133430588,0.448610411615921,0.723031272523254
0,1,1,0,-1.22485402052269,-1.18094912079998,0.435183350759092,0.999999999735517,0.717591675247305
4,4,1,1,-5.30635003605652,-5.1746353368884,0.997849501447601,0.417595337023342,0.707722419235471
4,4,2,1,-5.31544735446042,-5.17275643036162,0.999483234297832,0.402257647392425,0.700870440845129
