"AR","MA","GARCH","ARCH","AIC","BIC","LB_Resid","LB_Resid2","LB_Promedio"
2,4,1,0,319.764587593931,319.863373618307,0.990099711194018,0.999999999999947,0.995049855596982
4,0,1,0,70.7448788800784,70.8217124545931,0.968583922938097,0.999999951920415,0.984291937429256
4,4,1,1,-5.38379567256586,-5.25208097339774,0.97429910481425,0.828600933220302,0.901450019017276
0,1,1,0,79.3925408085621,79.4364457082848,0.802801418022821,0.999999997121302,0.901400707572062
1,0,1,0,76.780230422077,76.8241353217997,0.80030280363966,0.999999996575012,0.900151400107337
4,2,1,2,-5.35562785682329,-5.23488938258584,0.874755853256004,0.914415991298532,0.894585922277268
2,2,1,2,-5.39199648334394,-5.29321045896785,0.96758747326895,0.816162565971083,0.891875019620016
2,2,1,1,-5.39767834330984,-5.30986854386443,0.967582458472377,0.816166543386675,0.891874500929526
0,0,1,0,0.854275082492462,0.887203757284491,0.779255216359253,0.99927250847075,0.889263862415002
3,4,2,1,-5.40088978687328,-5.26917508770516,0.818311499864657,0.944360311393273,0.881335905628965
1,4,1,1,-5.3622731180941,-5.26348709371801,0.835027624076489,0.875328767435547,0.855178195756018
1,4,1,2,-5.35659129807707,-5.2468290487703,0.834971771454726,0.875339873830748,0.855155822642737
1,4,2,1,-5.37668587987088,-5.26692363056411,0.844094385365758,0.860371685241516,0.852233035303637
0,0,1,2,-5.37240523521919,-5.3175241105658,0.813787560772899,0.876633069306378,0.845210315039638
0,0,1,1,-5.3782433217301,-5.3343384220074,0.813688378293973,0.874483179162218,0.844085778728095
0,4,1,2,-5.35857425720085,-5.25978823282476,0.832232507211281,0.85519570996063,0.843714108585956
0,4,1,1,-5.36425609439461,-5.2764462949492,0.832096568036997,0.855050834792956,0.843573701414976
4,3,1,2,-5.36468166262123,-5.23296696345311,0.90657770198877,0.780201752340705,0.843389727164737
4,4,2,2,-5.39917529354933,-5.24550814451986,0.88321473308764,0.80259909561178,0.84290691434971
1,3,1,1,-5.36392701504837,-5.27611721560296,0.825499781355026,0.853743225354156,0.839621503354591
1,3,1,2,-5.35824520321588,-5.25945917883979,0.825504698574897,0.853725361024686,0.839615029799792
0,3,1,1,-5.36948348910283,-5.2926499145881,0.8207638215403,0.853731097458695,0.837247459499498
0,3,1,2,-5.36380167105678,-5.27599187161137,0.820776055811292,0.853715417626898,0.837245736719095
4,2,2,1,-5.3751444350704,-5.25440596083296,0.824551358985578,0.84528223448997,0.834916796737774
1,1,2,1,-5.38781980497503,-5.31098623046029,0.790597474241338,0.876771822956584,0.833684648598961
2,4,2,2,-5.40338446333605,-5.27166976416793,0.790430456776845,0.876020844897136,0.83322565083699
3,4,1,2,-5.38635804429886,-5.25464334513074,0.912634914130606,0.752399876410649,0.832517395270627
0,4,2,1,-5.38048281630076,-5.28169679192468,0.829019457079803,0.833418706798432,0.831219081939118
1,3,2,1,-5.38085274776527,-5.28206672338918,0.829846302853933,0.831229346674681,0.830537824764307
0,3,2,1,-5.38653456097267,-5.29872476152726,0.829822054257501,0.831199349384902,0.830510701821201
3,0,1,2,-5.36446618591873,-5.27665638647332,0.812375636374152,0.844745341221483,0.828560488797818
0,0,2,1,-5.39912379623195,-5.34424267157856,0.778569317670755,0.878282675220381,0.828425996445568
0,0,2,2,-5.39344197542851,-5.32758462584445,0.778569208417548,0.878282599026635,0.828425903722091
4,1,2,1,-5.37823258137373,-5.26847033206696,0.816416023808469,0.840192686317855,0.828304355063162
3,0,1,1,-5.37014803490137,-5.29331446038663,0.812125895339523,0.844438554380113,0.828282224859818
4,3,1,1,-5.35537067743624,-5.2346322031988,0.776751870028446,0.870198184634563,0.823475027331504
4,2,1,1,-5.36105106684402,-5.25128881753726,0.77592100531308,0.869518784602682,0.822719894957881
3,1,1,2,-5.35939620341177,-5.26061017903568,0.801897784154316,0.839371889023417,0.820634836588866
3,1,1,1,-5.36507804593449,-5.27726824648908,0.801862007140545,0.839142951546477,0.820502479343511
3,3,2,2,-5.37449261796868,-5.24277791880056,0.955352861573339,0.682329821465192,0.818841341519266
3,0,2,1,-5.38713853518956,-5.29932873574415,0.824578930520632,0.811367421346711,0.817973175933672
3,1,2,1,-5.38153239842015,-5.28274637404406,0.820480591332276,0.811945890048014,0.816213240690145
1,0,1,2,-5.36732757762678,-5.30147022804272,0.757623231391576,0.874599466991463,0.81611134919152
1,0,1,1,-5.37317292153281,-5.31829179687943,0.757354903628938,0.872311180783645,0.814833042206292
4,0,2,1,-5.38141554157032,-5.28262951719423,0.814626353304323,0.813320615454441,0.813973484379382
4,1,1,2,-5.35876202422847,-5.2489997749217,0.773079876845406,0.854244346833664,0.813662111839535
4,1,1,1,-5.36444391294459,-5.2656578885685,0.772920230611061,0.854088559061846,0.813504394836454
1,0,2,2,-5.38790555907858,-5.31107198456384,0.74218806304612,0.882545641989822,0.812366852517971
1,0,2,1,-5.3935873782648,-5.32773002868074,0.742184421062093,0.882546853157634,0.812365637109864
0,1,1,2,-5.36741046775659,-5.30155311817254,0.748741911850173,0.874086893501549,0.811414402675861
1,2,1,2,-5.36142234717139,-5.27361254772598,0.782738827651326,0.839633940656598,0.811186384153962
0,1,2,2,-5.38791531197962,-5.31108173746488,0.739609550852172,0.882732842581037,0.811171196716604
0,1,2,1,-5.39359713231936,-5.3277397827353,0.73960784495455,0.882733787400623,0.811170816177586
1,2,1,1,-5.36710418030265,-5.29027060578792,0.782534297477028,0.839529560768901,0.811031929122965
0,1,1,1,-5.37325747099337,-5.31837634633998,0.748363706578653,0.871617056262044,0.809990381420348
